id,name,description,type,rarity,cooldown,damage,weapon_texture,modifier_slots,pre_attached_modifier1,pre_attached_modifier2,pre_attached_modifier3,crit_chance,crit_multiplier,crit_status
rusty_sword,锈剑,"一把饱经风霜的剑，挥击弧度为90度。中等距离和攻速——可靠的万金油。",Melee,Common,0.5,3.0,res://textures/Weapons/sword_01c.png,3,,,
bone_dagger,骨匕,"一把快速、近距离的利器，弧度狭窄仅60度。攻速最快，但攻击距离最短、伤害最低。",Melee,Common,0.25,2.0,res://textures/Weapons/sword_01c.png,3,,,
broad_axe,阔斧,"一把沉重的劈砍斧，弧度宽阔达120度且攻击距离远。伤害极高，但攻速缓慢。",Melee,Common,0.7,6.0,res://textures/Weapons/sword_01c.png,3,,,
flame_blade,火焰之刃,"灼热的刀刃，每次挥击在地上留下熔岩池。攻击距离不错，伤害扎实，内置熔岩放射器。",Melee,Common,0.4,5.0,res://textures/Weapons/sword_01c.png,3,lava_emitter,,
throwing_knife,飞刀,"一枚飞行迅速的直线弹丸。冷却快，弹丸寿命为同类中最长。",Ranged,Uncommon,1.0,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01a.png,3,,,
fire_orb,火焰球,"一颗缓慢飞行的球体，近距离伤害极高。寿命短，但拥有人称最强的单发远程伤害。",Ranged,Uncommon,1.5,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_01e.png,3,,,
spread_shot,散射弹,"以30度扇形发射3枚弹丸。单发伤害低，但三发全中可造成巨额总伤害。",Ranged,Uncommon,1.2,2.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_02a.png,3,,,
boss_staff,魔王杖,"一把稀有的奥术法杖，发射一枚带轻微散射的单发弹丸。弹丸寿命为所有远程武器中最长。",Ranged,Rare,1.0,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/bow_03a.png,3,,,
willowblade,柳叶刃,"一柄由心材生长的活体刀刃。轻点快速横扫，蓄力突刺则必定暴击。",Melee,Common,0.42,3.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01a.png,3,,,
flame_sword,烈焰剑,"一柄烈焰缭绕的剑。暴击点燃敌人，使其持续燃烧。在持用者身后留下熔岩轨迹。",Melee,Uncommon,0.4,3.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01b.png,3,lava_emitter,,,0.15,2.0,on_fire
frost_sword,冰霜剑,"一把冰铸利刃，挥击弧度宽阔。暴击使敌人冻结，令其短暂无助。",Melee,Uncommon,0.4,3.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01c.png,3,,,,0.15,2.0,chilly
qinggang_sword,青釭剑,"一柄传说中的三国玉剑，以上下交替动作挥砍。",Melee,Rare,0.38,4.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01d.png,3,,,
blood_blade,血刃,"一柄嗜血刺客之刃；蓄力时刃锋泛起深红。蓄满力释放一连串疾速突进斩击，将持用者拖入乱战。",Melee,Rare,0.35,4.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_01e.png,3,,,
tao_sword,桃木剑,"一柄镌刻道家符咒的厚重桃木巨剑。",Melee,Common,0.65,6.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02a.png,3,,,
dragon_fang,龙牙,"一柄形似龙牙的矛刃巨剑。每次使用以迅雷之势连刺三下，直贯前方，不打断持用者步伐。",Melee,Uncommon,0.55,6.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02b.png,3,,,
heavenly_sword,天剑,"一柄从静水中抽出的天之利刃。宽阔的霜痕挥击在暴击时冻结敌人，既是控制之器也是杀戮之具。",Melee,Uncommon,0.65,6.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02c.png,3,,,,0.15,2.0,chilly
grand_knight_sword,大骑士之剑,"大骑士的标志武器。三连击组合：两记弧形横斩接一记突刺。近身毁灭性极强。",Melee,Rare,0.7,8.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02d.png,3,,,
deep_dark_blade,深渊暗刃,"暗之大骑士的诅咒巨剑。前冲旋转后接一记贴地突刺。",Melee,Rare,0.7,8.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_02e.png,3,,,
broadsword,阔剑,"一柄宽阔厚重的利刃，劈开面前的一切。蓄力时持用者减速，但极少有普通敌人能承受其一扫之威。",Melee,Common,0.55,5.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03a.png,3,,,
executioner,刽子手,"一柄残忍的断头之刃。轻点劈砍一次，蓄力则可释放最多两记回转重斩。距离短，但起手快且无情。",Melee,Uncommon,0.6,6.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03b.png,3,,,
void_sword,虚空剑,"一柄嗡鸣着暗蓝奇点的利刃。开始蓄力时从四面八方拖拽附近敌人；蓄满力以一记单次野蛮横扫收割无助的聚团之敌。",Melee,Uncommon,0.58,6.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03c.png,3,,,
caliburn,石中剑,"传说中从石中拔出的圣剑。长攻击距离与高暴击率可以撕碎成群敌人。",Melee,Rare,0.55,7.5,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03d.png,3,,,,0.35,2.0,
phantom_blade,幻影刃,"一柄来自彼岸的幽魂利刃。一记迅疾上撩接一记前冲刺击，幽灵般的锋刃穿透敌人防御如入无人之境。",Melee,Rare,0.5,7.0,res://textures/Assets/Kyrise's 16x16 RPG Icon Pack - V1.2/icons/16x16/sword_03e.png,3,,,
iron_mace,铁锤,"钝铁锤头粉碎护甲并在命中时造成眩晕。缓慢，但每次打击都震骨挫筋。",Melee,Common,0.7,6.0,res://textures/Weapons/sword_01c.png,3,,,
rapier,细剑,"一柄修长的刺击剑——闪电般快速，攻击距离狭窄，高暴击率奖励精准刺击。",Melee,Uncommon,0.3,2.5,res://textures/Weapons/sword_01c.png,3,,,,0.3,2.0,
cleaver,骨斩刀,"一柄宽大的屠夫刀，前弧宽阔可一次撕裂整群敌人。每次劈砍虽浅，但能同时切过面前所有敌人。",Melee,Common,0.5,4.0,res://textures/Weapons/sword_01c.png,3,,,
war_scythe,战镰,"一柄长柄收割之刃，横扫完整一周，一记收割将侧翼与身后的敌人一并击溃。",Melee,Uncommon,0.62,5.0,res://textures/Weapons/sword_01c.png,3,,,
twin_daggers,双匕,"双持利刃每次挥击攻击两次——单次伤害低，合计凶残。",Melee,Uncommon,0.28,1.8,res://textures/Weapons/sword_01c.png,3,,,
obsidian_greatsword,黑曜石大剑,"一柄巨大的火山岩刃，切穿一切地形如同切肉。最慢最重的挥击——稀有的暴击直接抹杀一切。",Melee,Rare,0.85,9.5,res://textures/Weapons/sword_01c.png,3,,,,0.05,3.0,
venom_fang_blade,毒牙刃,"一柄鞭般细长的毒牙，以长距突刺攻击。轻如无物且快如闪电，偏好多道浅切胜过单次重伤。",Melee,Uncommon,0.32,2.5,res://textures/Weapons/sword_01c.png,3,,,
tide_caller,唤潮者,"一柄淌着冷海水的珊瑚刃。暴击将目标浇透至骨髓，使其进入湿润状态，为冰冻或电击后续连击做铺垫。",Melee,Uncommon,0.45,3.5,res://textures/Weapons/sword_01c.png,3,,,,0.15,2.0,wet
cinder_brand,煤烬烙印,"一柄磨至邪异锋口的闷烧之刃。暴击频率远超大多数武器，且每次暴击灼燃其印。",Melee,Uncommon,0.4,3.5,res://textures/Weapons/sword_01c.png,3,,,,0.25,2.0,on_fire
glacier_edge,冰川之刃,"一柄沉重的永恒寒冰，挥击缓慢但无情。暴击瞬间冻结目标，将冒失者禁锢原地。",Melee,Uncommon,0.5,4.0,res://textures/Weapons/sword_01c.png,3,,,,0.2,2.0,chilly
thunder_katana,雷切,"一柄暴风锻造、精度超凡的武士刀。它比其他任何刀剑都更可靠地找到暴击空档——喂养那股暴击风暴，苍天便会回应。",Melee,Rare,0.38,4.0,res://textures/Weapons/sword_01c.png,3,,,,0.35,2.0,
gravedigger_spade,掘墓铲,"一柄沉重铁铲，可挖掘任何触及的地形，无论是软土还是坚石。一把可靠、钝实的挖掘工具兼棍棒。",Melee,Common,0.6,4.5,res://textures/Weapons/sword_01c.png,3,,,
reaper_glaive,死神之镰,"一柄长距离勾魂战镰。每次击杀将薄薄一丝生命回流给持用者——足以支撑继续深入敌阵。",Melee,Rare,0.55,6.0,res://textures/Weapons/sword_01c.png,3,,,
